Time,Qin,Qout,Level,TargetLevel
0,0.37328872309747574,16.5673652,50.0,50
1,0.37328872309747574,16.5673652,50.0,50
2,0.37328872309747574,16.5673652,50.0,50
3,1.00973029100353,16.5673652,50.0,50
4,1.00973029100353,16.5673652,50.0,50
5,0.8824419774222658,16.5673652,50.0,50
6,0.7551536638410905,16.5673652,50.0,50
7,0.6278653502599152,16.5673652,50.0,50
8,0.500577036678651,16.5673652,50.0,50
9,0.500577036678651,16.5673652,50.0,50
10,0.500577036678651,16.5673652,50.0,50
11,0.500577036678651,16.5673652,50.0,50
12,0.500577036678651,16.5673652,50.0,50
13,0.500577036678651,16.5673652,50.0,50
14,0.500577036678651,16.5673652,50.0,50
15,0.500577036678651,16.5673652,50.0,50
16,0.500577036678651,16.5673652,50.0,50
17,0.500577036678651,16.5673652,50.0,50
18,0.500577036678651,16.5673652,50.0,50
19,0.500577036678651,16.5673652,50.0,50
20,0.500577036678651,16.5673652,50.0,50
21,0.500577036678651,16.5673652,50.0,50
22,0.500577036678651,16.5673652,50.0,50
23,0.500577036678651,16.5673652,50.0,50
24,0.500577036678651,16.5673652,50.0,50
25,0.37328872309747574,16.5673652,50.0,50
26,0.37328872309747574,16.5673652,50.0,50
27,0.37328872309747574,16.5673652,50.0,50
28,0.37328872309747574,16.5673652,50.0,50
29,0.37328872309747574,16.5673652,50.0,50
30,0.37328872309747574,16.5673652,50.0,50
31,0.37328872309747574,16.5673652,50.0,50
32,0.37328872309747574,16.5673652,50.0,50
33,0.37328872309747574,16.5673652,50.0,50
34,0.37328872309747574,16.5673652,50.0,50
35,0.37328872309747574,16.5673652,50.0,50
36,0.500577036678651,16.5673652,50.0,50
37,0.37328872309747574,16.5673652,50.0,50
38,0.37328872309747574,16.5673652,50.0,50
39,0.37328872309747574,16.5673652,50.0,50
40,0.37328872309747574,16.5673652,50.0,50
41,0.2460004095162116,16.5673652,50.0,50
42,0.37328872309747574,16.5673652,50.0,50
43,0.37328872309747574,16.5673652,50.0,50
44,0.37328872309747574,16.5673652,50.0,50
45,0.37328872309747574,16.5673652,50.0,50
46,0.2460004095162116,16.5673652,50.0,50
47,0.2460004095162116,16.5673652,50.0,50
48,0.37328872309747574,16.5673652,50.0,50
49,0.37328872309747574,16.5673652,50.0,50
50,0.2460004095162116,16.5673652,50.0,50
51,0.37328872309747574,16.5673652,50.0,50
52,0.2460004095162116,16.5673652,50.0,50
53,0.2460004095162116,16.5673652,50.0,50
54,0.2460004095162116,16.5673652,50.0,50
55,0.2460004095162116,16.5673652,50.0,50
56,0.2460004095162116,16.5673652,50.0,50
57,0.2460004095162116,16.5673652,50.0,50
58,0.2460004095162116,16.5673652,50.0,50
59,0.2460004095162116,16.5673652,50.0,50
60,0.2460004095162116,16.5673652,50.0,50
61,0.2460004095162116,16.5673652,50.0,50
62,0.2460004095162116,16.5673652,50.0,50
63,0.2460004095162116,16.5673652,50.0,50
64,0.2460004095162116,16.5673652,50.0,50
65,0.2460004095162116,16.5673652,50.0,50
66,0.2460004095162116,16.5673652,50.0,50
67,0.2460004095162116,16.5673652,50.0,50
68,0.2460004095162116,16.5673652,50.0,50
69,0.2460004095162116,16.5673652,50.0,50
70,0.2460004095162116,16.5673652,50.0,50
71,0.2460004095162116,16.5673652,50.0,50
72,0.2460004095162116,16.5673652,50.0,50
73,0.2460004095162116,16.5673652,50.0,50
74,0.2460004095162116,16.5673652,50.0,50
75,0.11871209593503629,16.5673652,49.9,50
76,0.2460004095162116,16.5673652,49.9,50
77,0.11871209593503629,16.5673652,49.9,50
78,0.2460004095162116,16.5673652,49.9,50
79,0.11871209593503629,16.5673652,49.9,50
80,0.2460004095162116,16.5673652,49.9,50
81,0.2460004095162116,16.5673652,49.9,50
82,0.11871209593503629,16.5673652,49.9,50
83,0.11871209593503629,16.5673652,49.9,50
84,0.37328872309747574,16.5673652,49.9,50
85,0.500577036678651,16.5673652,49.9,50
86,0.500577036678651,16.5673652,49.9,50
87,0.500577036678651,16.5673652,49.9,50
88,0.500577036678651,16.5673652,49.9,50
89,0.500577036678651,16.5673652,49.9,50
90,0.6278653502599152,16.5673652,49.9,50
91,0.6278653502599152,16.5673652,49.9,50
92,0.7551536638410905,16.5673652,49.9,50
93,0.8824419774222658,16.5673652,49.9,50
94,0.8824419774222658,16.5673652,49.9,50
95,0.8824419774222658,16.5673652,49.9,50
96,1.00973029100353,16.5673652,49.9,50
97,1.1370186045847053,16.5673652,49.9,50
98,1.1370186045847053,16.5673652,49.9,50
99,1.1370186045847053,16.5673652,49.9,50
100,1.2643069181658806,16.5673652,49.9,50
101,1.2643069181658806,16.5673652,49.9,50
102,1.3915952317471447,16.5673652,49.9,50
103,1.51888354532832,16.5673652,49.9,50
104,1.6461718589094954,16.5673652,49.9,50
105,1.6461718589094954,16.5673652,49.9,50
106,1.6461718589094954,16.5673652,49.9,50
107,1.7734601724907595,16.5673652,49.9,50
108,1.9007484860719348,16.5673652,49.9,50
109,2.02803679965311,16.5673652,49.9,50
110,2.02803679965311,16.5673652,49.9,50
111,2.1553251132343743,16.5673652,49.9,50
112,2.1553251132343743,16.5673652,49.9,50
113,2.2826134268155496,16.5673652,49.9,50
114,2.2826134268155496,16.5673652,49.9,50
115,2.537190053977989,16.5673652,49.9,50
116,2.537190053977989,16.5673652,49.9,50
117,2.6644783675591643,16.5673652,49.9,50
118,2.7917666811404285,16.5673652,49.9,50
119,2.7917666811404285,16.5673652,49.9,50
120,2.919054994721604,16.5673652,49.9,50
121,3.046343308302779,16.5673652,49.9,50
122,3.046343308302779,16.5673652,49.9,50
123,3.1736316218840432,16.5673652,49.9,50
124,3.3009199354652186,16.5673652,49.9,50
125,3.428208249046394,16.5673652,49.9,50
126,3.555496562627658,16.5673652,49.9,50
127,3.6827848762088333,16.5673652,49.9,50
128,3.6827848762088333,16.5673652,49.9,50
129,3.8100731897900086,16.5673652,49.9,50
130,3.9373615033712728,16.5673652,49.9,50
131,4.064649816952448,16.5673652,49.9,50
132,4.191938130533623,16.5673652,49.9,50
133,4.3192264441148875,16.5673652,49.9,50
134,4.3192264441148875,16.5673652,49.9,50
135,4.573803071277327,16.5673652,49.9,50
136,4.955668012020942,16.5673652,49.9,50
137,5.210244639183292,16.5673652,49.9,50
138,5.3375329527645565,16.5673652,49.9,50
139,5.592109579926907,16.5673652,49.9,50
140,5.846686207089347,16.5673652,49.9,50
141,6.228551147832961,16.5673652,49.9,50
142,6.3558394614142255,16.5673652,49.9,50
143,6.610416088576576,16.5673652,49.9,50
144,6.864992715739016,16.5673652,49.9,50
145,7.24685765648263,16.5673652,49.9,50
146,7.50143428364507,16.5673652,49.9,50
147,7.883299224388685,16.5673652,49.9,50
148,8.137875851551035,16.5673652,49.9,50
149,8.392452478713475,16.5673652,49.9,50
150,8.77431741945709,16.5673652,49.9,50
151,9.156182360200704,16.5673652,49.9,50
152,9.538047300944319,16.5673652,49.9,50
153,9.792623928106758,16.5673652,49.9,50
154,10.174488868850373,16.5673652,49.9,50
155,10.556353809593988,16.5673652,49.9,50
156,10.938218750337603,16.5673652,49.9,50
157,11.320083691081217,16.5673652,49.9,50
158,11.701948631824832,16.5673652,49.9,50
159,12.211101886149711,16.5673652,49.9,50
160,12.592966826893326,16.5673652,49.9,50
161,12.97483176763694,16.5673652,49.9,50
162,13.356696708380555,16.5673652,49.9,50
163,13.865849962705346,16.5673652,49.9,50
164,14.24771490344905,16.5673652,49.9,50
165,14.629579844192664,16.5673652,49.9,50
166,15.138733098517454,16.5673652,49.9,50
167,15.520598039261069,16.5673652,49.9,50
168,16.02975129358586,16.5673652,49.9,50
169,16.411616234329564,16.5673652,49.9,50
170,16.92076948865435,16.5673652,49.9,50
171,17.429922742979144,16.5673652,49.9,50
172,17.939075997304023,16.5673652,49.9,50
173,18.830094192372428,16.5673652,49.9,50
174,19.339247446697307,16.5673652,49.9,50
175,19.848400701022094,16.5673652,49.9,50
176,20.357553955346972,16.5673652,49.9,50
177,20.866707209671766,16.5673652,49.9,50
178,21.375860463996553,16.5673652,49.9,50
179,21.88501371832143,16.5673652,49.9,50
180,22.26687865906505,16.5673652,49.9,50
181,22.64874359980866,16.5673652,49.9,50
182,23.03060854055228,16.5673652,49.9,50
183,23.539761794877066,16.5673652,49.9,50
184,23.921626735620684,16.5673652,49.9,50
185,24.303491676364388,16.5673652,49.9,50
186,24.685356617108,16.5673652,49.9,50
187,25.194509871432793,16.5673652,49.9,50
188,25.44908649859523,16.5673652,49.9,50
189,25.830951439338847,16.5673652,49.9,50
190,26.212816380082458,16.5673652,49.9,50
191,26.594681320826076,16.5673652,49.9,50
192,26.976546261569688,16.5673652,49.9,50
193,27.23112288873213,16.5673652,49.9,50
194,27.612987829475742,16.5673652,49.9,50
195,27.99485277021936,16.5673652,49.9,50
196,28.37671771096297,16.5673652,49.9,50
197,28.631294338125414,16.5673652,49.9,50
198,29.013159278869026,16.5673652,49.9,50
199,29.267735906031376,16.5673652,49.9,50
200,29.649600846774995,16.5673652,49.9,50
201,29.90417747393743,16.5673652,49.9,50
202,30.28604241468105,16.5673652,49.9,50
203,30.540619041843485,16.5673652,49.9,50
204,30.795195669005928,16.5673652,49.9,50
205,31.04977229616828,16.5673652,49.9,50
206,31.304348923330714,16.5673652,49.9,50
207,31.558925550493157,16.5673652,49.9,50
208,31.94079049123677,16.5673652,49.9,50
209,32.19536711839921,16.5673652,49.9,50
210,32.44994374556156,16.5673652,49.9,50
211,32.704520372724,16.5673652,49.9,50
212,33.086385313467616,16.5673652,49.9,50
213,33.34096194063005,16.5673652,49.9,50
214,33.46825025421123,16.5673652,49.9,50
215,33.850115194954846,16.5673652,49.9,50
216,34.10469182211728,16.5673652,49.9,50
217,34.23198013569846,16.5673652,49.9,50
218,34.4865567628609,16.5673652,49.9,50
219,34.741133390023336,16.5673652,49.9,50
220,34.99571001718569,16.5673652,49.9,50
221,35.25028664434813,16.5673652,49.9,50
222,35.504863271510565,16.5673652,49.9,50
223,35.63215158509174,16.5673652,49.9,50
224,35.886728212254184,16.5673652,49.9,50
225,36.14130483941662,16.5673652,49.9,50
226,36.268593152997795,16.5673652,49.9,50
