Time,Qin,Qout,Level
2025-03-24 13:10:54.087533,0.119,16.567,62.5
2025-03-24 13:10:55.110011,0.0,16.567,62.5
2025-03-24 13:10:56.127509,0.119,16.567,62.5
2025-03-24 13:10:57.143041,0.119,16.567,62.5
2025-03-24 13:10:58.158626,0.119,16.567,62.5
2025-03-24 13:10:59.175282,0.119,16.567,62.5
2025-03-24 13:11:00.190795,0.0,16.567,62.5
2025-03-24 13:11:01.208243,0.0,16.567,62.5
2025-03-24 13:11:02.225678,0.0,16.567,62.5
2025-03-24 13:11:03.241326,0.0,16.567,62.5
2025-03-24 13:11:04.258392,0.0,16.567,62.5
2025-03-24 13:11:05.277849,0.119,16.567,62.5
2025-03-24 13:11:06.295784,0.119,16.567,62.5
2025-03-24 13:11:07.314184,0.0,16.567,62.5
2025-03-24 13:11:08.330190,0.0,16.567,62.5
2025-03-24 13:11:09.348065,0.119,16.567,62.5
2025-03-24 13:11:10.365063,0.0,16.567,62.5
2025-03-24 13:11:11.381456,0.0,16.567,62.5
2025-03-24 13:11:12.398324,0.119,16.567,62.5
2025-03-24 13:11:13.415239,0.0,16.567,62.5
2025-03-24 13:11:14.433637,0.0,16.567,62.5
2025-03-24 13:11:15.450638,0.119,16.567,62.5
2025-03-24 13:11:16.467590,0.0,16.567,62.5
2025-03-24 13:11:17.484481,0.0,16.567,62.5
2025-03-24 13:11:18.500313,0.119,16.567,62.5
2025-03-24 13:11:19.516334,0.0,16.567,62.5
2025-03-24 13:11:20.531759,0.0,16.567,62.5
2025-03-24 13:11:21.548183,0.0,16.567,62.5
2025-03-24 13:11:22.566511,0.0,16.567,62.5
2025-03-24 13:11:23.582492,0.0,16.567,62.5
2025-03-24 13:11:24.599053,0.119,16.567,62.5
2025-03-24 13:11:25.616288,0.0,16.567,62.5
2025-03-24 13:11:26.632611,0.0,16.567,62.5
2025-03-24 13:11:27.649383,0.0,16.567,62.5
2025-03-24 13:11:28.665721,0.0,16.567,62.5
2025-03-24 13:11:29.682113,0.0,16.567,62.5
2025-03-24 13:11:30.700036,0.119,16.567,62.5
2025-03-24 13:11:31.716518,0.119,16.567,62.5
2025-03-24 13:11:32.732972,0.0,16.567,62.5
2025-03-24 13:11:33.750638,0.0,16.567,62.5
2025-03-24 13:11:34.767535,0.0,16.567,62.5
2025-03-24 13:11:35.784296,0.119,16.567,62.5
2025-03-24 13:11:36.801229,0.119,16.567,62.5
2025-03-24 13:11:37.818508,0.119,16.567,62.5
2025-03-24 13:11:38.833705,0.0,16.567,62.5
2025-03-24 13:11:39.850637,0.0,16.567,62.5
2025-03-24 13:11:40.867026,0.0,16.567,62.5
2025-03-24 13:11:41.883377,0.119,16.567,62.5
2025-03-24 13:11:42.900678,0.119,16.567,62.5
2025-03-24 13:11:43.917074,0.119,16.567,62.5
2025-03-24 13:11:44.933578,0.119,16.567,62.5
2025-03-24 13:11:45.954400,0.0,16.567,62.5
2025-03-24 13:11:46.972165,0.0,16.567,62.5
2025-03-24 13:11:47.988642,0.119,16.567,62.5
2025-03-24 13:11:49.005650,0.0,16.567,62.5
2025-03-24 13:11:50.022653,0.0,16.567,62.5
2025-03-24 13:11:51.040679,0.0,16.567,62.5
2025-03-24 13:11:52.059033,0.0,16.567,62.5
2025-03-24 13:11:53.075705,0.0,16.567,62.5
2025-03-24 13:11:54.091978,0.0,16.567,62.5
2025-03-24 13:11:55.112607,0.119,16.567,62.5
2025-03-24 13:11:56.129353,0.0,16.567,62.5
2025-03-24 13:11:57.147633,0.0,16.567,62.5
2025-03-24 13:11:58.165318,0.119,16.567,62.5
2025-03-24 13:11:59.183611,0.119,16.567,62.5
2025-03-24 13:12:00.201252,0.119,16.567,62.5
2025-03-24 13:12:01.218313,0.0,16.567,62.5
2025-03-24 13:12:02.234249,0.119,16.567,62.5
2025-03-24 13:12:03.249887,0.0,16.567,62.5
2025-03-24 13:12:04.268792,0.0,16.567,62.5
2025-03-24 13:12:05.285790,0.0,16.567,62.5
2025-03-24 13:12:06.303958,0.0,16.567,62.5
2025-03-24 13:12:07.322058,0.0,16.567,62.5
2025-03-24 13:12:08.338564,0.0,16.567,62.5
2025-03-24 13:12:09.354739,0.119,16.567,62.4
2025-03-24 13:12:10.372917,0.0,16.567,62.4
2025-03-24 13:12:11.390809,0.0,16.567,62.4
2025-03-24 13:12:12.408144,0.0,16.567,62.4
2025-03-24 13:12:13.424039,0.0,16.567,62.4
2025-03-24 13:12:14.442165,0.0,16.567,62.4
2025-03-24 13:12:15.462712,0.0,16.567,62.4
2025-03-24 13:12:16.480402,0.0,16.567,62.4
2025-03-24 13:12:17.498375,0.0,16.567,62.4
2025-03-24 13:12:18.515924,0.119,16.567,62.4
2025-03-24 13:12:19.535347,0.0,16.567,62.4
2025-03-24 13:12:20.552627,0.0,16.567,62.4
2025-03-24 13:12:21.568717,0.0,16.567,62.4
2025-03-24 13:12:22.586308,0.119,16.567,62.4
2025-03-24 13:12:23.603250,0.119,16.567,62.4
2025-03-24 13:12:24.619929,0.0,16.567,62.4
2025-03-24 13:12:25.637707,0.0,16.567,62.4
2025-03-24 13:12:26.657385,0.0,16.567,62.4
2025-03-24 13:12:27.674085,0.0,16.567,62.4
