Time,Qin,Qout,Level
0,50.016,16.567,50.1
60.0,50.016,16.567,50.2
120.0,47.215,16.567,50.2
180.0,45.433,16.567,50.3
240.0,39.705,16.567,50.4
300.0,36.141,16.567,50.4
360.0,35.632,16.567,50.5
420.0,34.741,16.567,50.5
480.0,31.559,16.309,50.5
540.0,31.05,16.309,50.6
600.0,28.631,16.309,50.6
660.0,27.613,16.309,50.6
720.0,26.977,16.309,50.7
780.0,26.722,17.439,50.7
840.0,26.086,17.439,50.7
900.0,25.576,17.439,50.7
960.0,24.94,17.439,50.7
1020.0,24.558,19.136,50.8
1080.0,24.049,19.136,50.8
1140.0,23.031,19.136,50.8
1200.0,22.394,19.136,50.8
1260.0,22.394,19.136,50.8
1320.0,21.885,18.76,50.8
1380.0,21.249,18.76,50.8
1440.0,20.867,18.76,50.8
1500.0,20.358,18.76,50.8
1560.0,19.721,18.76,50.8
1620.0,19.339,17.733,50.8
1680.0,18.957,17.733,50.8
1740.0,18.576,17.733,50.8
1800.0,18.321,17.733,50.8
1860.0,17.557,17.733,50.8
1920.0,17.175,16.986,50.8
1980.0,16.921,16.986,50.8
2040.0,16.793,16.986,50.8
2100.0,16.284,16.986,50.8
2160.0,16.03,16.986,50.8
2220.0,15.393,16.689,50.8
2280.0,15.139,16.689,50.8
2340.0,14.757,16.689,50.8
2400.0,14.63,16.689,50.8
2460.0,14.248,17.354,50.8
2520.0,13.993,17.354,50.8
2580.0,13.357,17.354,50.8
2640.0,13.229,17.354,50.8
2700.0,12.848,17.354,50.8
2760.0,12.72,17.822,50.8
2820.0,12.466,17.822,50.7
2880.0,12.211,17.822,50.7
2940.0,11.702,17.822,50.7
3000.0,11.447,17.822,50.7
3060.0,11.193,18.127,50.7
3120.0,11.066,18.127,50.7
3180.0,10.811,18.127,50.6
3240.0,10.556,18.127,50.6
3300.0,10.556,18.127,50.6
3360.0,10.047,18.221,50.6
3420.0,9.793,18.221,50.6
3480.0,9.665,18.221,50.5
3540.0,9.665,18.221,50.5
3600.0,9.283,18.221,50.5
3660.0,9.156,18.647,50.5
3720.0,8.902,18.647,50.5
3780.0,8.774,18.647,50.4
3840.0,8.392,18.647,50.4
3900.0,8.392,18.678,50.4
3960.0,8.138,18.678,50.4
4020.0,9.029,18.678,50.3
4080.0,8.647,18.678,50.3
4140.0,8.52,18.678,50.3
4200.0,8.011,18.544,50.3
4260.0,9.156,18.544,50.2
4320.0,8.774,18.544,50.2
4380.0,8.774,18.544,50.2
4440.0,8.52,18.544,50.2
4500.0,9.665,18.154,50.1
4560.0,9.411,18.154,50.1
4620.0,9.538,18.154,50.1
4680.0,9.283,18.154,50.1
4740.0,9.665,18.154,50.1
4800.0,10.684,17.628,50.0
4860.0,10.684,17.628,50.0
4920.0,10.556,17.628,50.0
4980.0,10.811,17.628,50.0
5040.0,11.193,17.628,50.0
5100.0,11.32,18.326,50.0
5160.0,12.084,18.326,49.9
5220.0,12.084,18.326,49.9
5280.0,12.593,18.326,49.9
5340.0,12.848,18.269,49.9
5400.0,13.866,18.269,49.9
5460.0,14.12,18.269,49.9
5520.0,15.011,18.269,49.9
5580.0,15.266,18.269,49.9
5640.0,15.521,17.902,49.9
5700.0,15.775,17.902,49.8
5760.0,16.666,17.902,49.8
5820.0,17.048,17.902,49.8
5880.0,17.43,17.902,49.8
5940.0,17.175,17.244,49.8
6000.0,17.812,17.244,49.8
6060.0,18.066,17.244,49.8
6120.0,18.321,17.244,49.8
6180.0,18.448,17.244,49.8
6240.0,18.83,16.666,49.9
6300.0,18.957,16.666,49.9
6360.0,19.339,16.666,49.9
6420.0,18.83,16.666,49.9
6480.0,19.085,16.666,49.9
6540.0,19.467,17.819,49.9
6600.0,19.721,17.819,49.9
6660.0,19.848,17.819,49.9
6720.0,19.976,17.819,49.9
6780.0,19.976,19.124,49.9
6840.0,19.594,19.124,49.9
6900.0,19.848,19.124,49.9
6960.0,20.103,19.124,49.9
7020.0,20.23,19.124,49.9
7080.0,20.23,19.474,49.9
7140.0,20.485,19.474,49.9
7200.0,20.612,19.474,49.9
7260.0,20.867,19.474,49.9
7320.0,20.994,19.474,49.9
7380.0,20.867,18.61,49.9
7440.0,20.358,18.61,49.9
7500.0,20.485,18.61,49.9
7560.0,20.612,18.61,49.9
7620.0,20.867,18.61,49.9
7680.0,21.121,18.32,50.0
7740.0,21.121,18.32,50.0
7800.0,20.103,18.32,50.0
7860.0,19.976,18.32,50.0
7920.0,20.23,18.32,50.0
7980.0,20.485,18.667,50.0
8040.0,20.358,18.667,50.0
8100.0,20.358,18.667,50.0
8160.0,19.848,18.667,50.0
8220.0,19.594,18.778,50.0
8280.0,19.594,18.778,50.0
8340.0,19.721,18.778,50.0
8400.0,19.594,18.778,50.0
8460.0,19.467,18.778,50.0
8520.0,19.467,18.129,50.0
8580.0,19.467,18.129,50.0
8640.0,19.467,18.129,50.0
8700.0,19.467,18.129,50.0
8760.0,19.339,18.129,50.0
8820.0,18.83,18.368,50.0
8880.0,18.83,18.368,50.0
8940.0,18.321,18.368,50.0
9000.0,18.194,18.368,50.0
9060.0,17.939,18.368,50.0
9120.0,18.066,19.554,50.0
9180.0,17.939,19.554,50.0
9240.0,17.684,19.554,50.0
9300.0,18.321,19.554,50.0
9360.0,18.448,19.554,50.0
9420.0,18.321,19.485,50.0
9480.0,17.939,19.485,50.0
9540.0,17.812,19.485,50.0
9600.0,17.684,19.485,50.0
9660.0,17.557,19.57,50.0
9720.0,17.684,19.57,50.0
9780.0,17.557,19.57,50.0
9840.0,18.194,19.57,50.0
9900.0,18.194,19.57,50.0
9960.0,17.939,20.254,50.0
10020.0,17.812,20.254,49.9
10080.0,17.812,20.254,49.9
10140.0,17.812,20.254,49.9
10200.0,18.576,20.254,49.9
10260.0,18.703,20.537,49.9
10320.0,18.83,20.537,49.9
10380.0,18.448,20.537,49.9
10440.0,18.576,20.537,49.9
10500.0,18.576,20.537,49.9
10560.0,19.085,20.954,49.9
10620.0,19.467,20.954,49.9
10680.0,19.594,20.954,49.9
10740.0,19.467,20.954,49.9
10800.0,19.467,20.954,49.9
10860.0,19.467,20.781,49.9
10920.0,19.594,20.781,49.9
10980.0,19.721,20.781,49.9
11040.0,19.721,20.781,49.9
11100.0,20.612,19.625,49.9
11160.0,20.994,19.625,49.9
11220.0,20.739,19.625,49.9
11280.0,20.994,19.625,49.9
11340.0,20.23,19.625,49.9
11400.0,20.23,18.214,49.9
11460.0,20.485,18.214,49.9
11520.0,20.739,18.214,49.9
11580.0,20.739,18.214,49.9
11640.0,20.739,18.214,49.9
11700.0,20.867,16.774,49.9
11760.0,20.994,16.774,49.9
11820.0,20.867,16.774,50.0
11880.0,20.23,16.774,50.0
11940.0,19.594,16.774,50.0
12000.0,19.467,17.024,50.0
12060.0,19.467,17.024,50.0
12120.0,19.721,17.024,50.0
12180.0,19.721,17.024,50.0
12240.0,18.83,17.024,50.0
12300.0,18.576,19.226,50.0
12360.0,18.703,19.226,50.0
12420.0,18.703,19.226,50.0
12480.0,18.576,19.226,50.0
12540.0,18.448,20.823,50.0
12600.0,18.321,20.823,50.0
12660.0,18.194,20.823,50.0
12720.0,18.194,20.823,50.0
12780.0,17.939,20.823,50.0
12840.0,18.448,20.527,50.0
12900.0,18.703,20.527,49.9
12960.0,18.703,20.527,49.9
13020.0,18.321,20.527,49.9
13080.0,19.212,20.527,49.9
13140.0,19.339,19.498,49.9
13200.0,19.339,19.498,49.9
13260.0,18.957,19.498,49.9
13320.0,18.957,19.498,49.9
13380.0,19.085,19.498,49.9
13440.0,19.212,18.366,49.9
13500.0,19.085,18.366,49.9
13560.0,19.339,18.366,49.9
13620.0,19.212,18.366,49.9
13680.0,19.212,18.366,49.9
13740.0,19.212,18.211,49.9
13800.0,19.212,18.211,49.9
13860.0,19.212,18.211,49.9
13920.0,19.212,18.211,50.0
13980.0,18.321,18.644,50.0
14040.0,18.194,18.644,50.0
14100.0,18.066,18.644,49.9
14160.0,18.321,18.644,49.9
14220.0,18.321,18.644,49.9
14280.0,18.194,18.507,49.9
14340.0,18.066,18.507,49.9
14400.0,18.066,18.507,49.9
14460.0,18.194,18.507,49.9
14520.0,18.957,18.507,49.9
14580.0,19.085,19.39,49.9
14640.0,18.703,19.39,49.9
14700.0,18.703,19.39,49.9
14760.0,18.83,19.39,49.9
14820.0,18.83,19.39,49.9
14880.0,18.83,19.65,49.9
14940.0,18.83,19.65,49.9
15000.0,18.83,19.65,49.9
15060.0,18.957,19.65,49.9
15120.0,18.83,19.65,49.9
15180.0,18.957,19.288,49.9
15240.0,18.83,19.288,49.9
15300.0,18.957,19.288,49.9
15360.0,18.957,19.288,49.9
15420.0,18.957,19.496,49.9
15480.0,18.957,19.496,49.9
15540.0,18.957,19.496,49.9
15600.0,18.957,19.496,49.9
15660.0,18.957,19.496,49.9
15720.0,18.957,18.68,49.9
15780.0,18.957,18.68,49.9
15840.0,18.957,18.68,49.9
15900.0,18.957,18.68,49.9
15960.0,18.957,18.68,49.9
16020.0,19.085,19.39,49.9
16080.0,19.085,19.39,49.9
16140.0,19.085,19.39,49.9
16200.0,19.085,19.39,49.9
16260.0,19.085,19.39,49.9
16320.0,19.085,20.057,49.9
16380.0,19.212,20.057,49.9
16440.0,19.085,20.057,49.9
16500.0,19.467,20.057,49.9
16560.0,20.103,20.057,49.9
16620.0,19.976,18.91,49.9
16680.0,19.848,18.91,49.9
16740.0,19.976,18.91,49.9
16800.0,20.103,18.91,49.9
16860.0,20.23,19.283,49.9
16920.0,19.467,19.283,49.9
16980.0,19.467,19.283,49.9
17040.0,19.721,19.283,49.9
17100.0,19.721,19.283,49.9
17160.0,19.721,18.74,49.9
17220.0,19.594,18.74,49.9
17280.0,19.594,18.74,49.9
17340.0,19.721,18.74,49.9
17400.0,19.721,18.74,49.9
17460.0,19.848,17.97,49.9
17520.0,19.848,17.97,49.9
17580.0,19.848,17.97,50.0
17640.0,19.721,17.97,50.0
17700.0,19.848,17.97,50.0
17760.0,18.83,19.352,50.0
17820.0,18.703,19.352,50.0
17880.0,18.83,19.352,50.0
17940.0,19.085,19.352,50.0
18000.0,19.085,19.352,50.0
18060.0,18.703,19.537,50.0
18120.0,18.83,19.537,50.0
18180.0,18.83,19.537,49.9
18240.0,18.83,19.537,49.9
18300.0,18.576,19.376,49.9
18360.0,18.576,19.376,49.9
18420.0,18.576,19.376,49.9
18480.0,18.83,19.376,49.9
18540.0,19.467,19.376,49.9
18600.0,19.467,19.067,49.9
18660.0,19.212,19.067,49.9
18720.0,19.212,19.067,49.9
18780.0,19.212,19.067,49.9
18840.0,19.212,19.067,49.9
18900.0,19.339,18.578,49.9
18960.0,19.339,18.578,49.9
19020.0,19.339,18.578,49.9
19080.0,19.339,18.578,49.9
19140.0,19.085,18.578,50.0
19200.0,18.321,19.218,49.9
19260.0,18.194,19.218,49.9
19320.0,18.448,19.218,49.9
19380.0,18.83,19.218,49.9
19440.0,19.339,19.218,49.9
19500.0,19.339,19.741,49.9
19560.0,19.212,19.741,49.9
19620.0,19.085,19.741,49.9
19680.0,19.085,19.741,49.9
19740.0,19.085,18.911,49.9
19800.0,19.212,18.911,49.9
19860.0,19.212,18.911,49.9
19920.0,19.212,18.911,49.9
19980.0,19.212,18.911,49.9
20040.0,19.212,18.575,49.9
20100.0,19.212,18.575,49.9
20160.0,19.212,18.575,49.9
20220.0,19.339,18.575,49.9
20280.0,19.339,18.575,49.9
20340.0,19.212,19.212,49.9
20400.0,19.212,19.212,49.9
20460.0,18.321,19.212,49.9
20520.0,18.321,19.212,49.9
20580.0,18.448,19.212,49.9
20640.0,18.576,18.862,49.9
20700.0,19.339,18.862,49.9
20760.0,19.339,18.862,49.9
20820.0,18.957,18.862,49.9
20880.0,18.957,18.862,49.9
20940.0,19.212,18.642,49.9
21000.0,19.212,18.642,49.9
21060.0,18.576,18.642,49.9
21120.0,18.321,18.642,49.9
21180.0,18.194,18.453,49.9
21240.0,18.066,18.453,49.9
21300.0,18.194,18.453,49.9
21360.0,18.194,18.453,49.9
21420.0,18.576,18.453,49.9
21480.0,19.085,18.08,49.9
21540.0,19.085,18.08,49.9
21600.0,18.703,18.08,50.0
21660.0,18.194,18.08,50.0
21720.0,17.939,18.08,50.0
21780.0,17.812,17.389,50.0
21840.0,17.939,17.389,50.0
21900.0,17.939,17.389,50.0
21960.0,17.939,17.389,50.0
22020.0,17.812,17.389,50.0
22080.0,17.684,17.015,50.0
22140.0,17.684,17.015,50.0
22200.0,17.684,17.015,50.0
22260.0,17.557,17.015,50.0
22320.0,17.557,17.015,50.0
22380.0,17.43,17.575,50.0
22440.0,17.43,17.575,50.0
22500.0,17.303,17.575,50.0
22560.0,17.303,17.575,50.0
22620.0,17.303,16.779,50.0
22680.0,17.175,16.779,50.0
22740.0,17.175,16.779,50.0
22800.0,16.921,16.779,50.0
22860.0,16.921,16.779,50.0
22920.0,16.921,15.85,50.0
22980.0,16.793,15.85,50.0
23040.0,16.793,15.85,50.0
23100.0,16.793,15.85,50.0
23160.0,16.666,15.85,50.0
23220.0,16.539,15.612,50.0
23280.0,16.412,15.612,50.0
23340.0,15.648,15.612,50.0
23400.0,15.521,15.612,50.0
23460.0,15.521,15.612,50.0
23520.0,15.648,15.955,50.0
23580.0,15.393,15.955,50.0
23640.0,15.266,15.955,50.0
23700.0,15.139,15.955,50.0
23760.0,15.011,15.955,50.0
23820.0,15.139,16.23,50.0
23880.0,15.775,16.23,50.0
23940.0,15.393,16.23,50.0
24000.0,15.139,16.23,50.0
24060.0,15.011,15.574,50.0
24120.0,15.266,15.574,50.0
24180.0,15.139,15.574,50.0
24240.0,15.011,15.574,50.0
24300.0,14.884,15.574,50.0
24360.0,14.884,15.641,50.0
24420.0,14.757,15.641,50.0
24480.0,14.757,15.641,50.0
24540.0,14.63,15.641,50.0
24600.0,14.502,15.641,49.9
24660.0,14.502,16.548,49.9
24720.0,14.375,16.548,49.9
24780.0,14.375,16.548,49.9
24840.0,15.266,16.548,49.9
24900.0,15.266,16.548,49.9
24960.0,15.266,16.486,49.9
25020.0,14.884,16.486,49.9
25080.0,14.884,16.486,49.9
25140.0,15.139,16.486,49.9
25200.0,15.521,16.486,49.9
25260.0,15.775,15.664,49.9
25320.0,15.775,15.664,49.9
25380.0,15.648,15.664,49.9
25440.0,15.775,15.664,49.9
25500.0,15.775,16.673,49.9
25560.0,15.902,16.673,49.9
25620.0,16.03,16.673,49.9
25680.0,16.03,16.673,49.9
25740.0,16.157,16.673,49.9
25800.0,16.157,17.23,49.9
25860.0,16.157,17.23,49.9
25920.0,16.284,17.23,49.9
25980.0,16.284,17.23,49.9
26040.0,16.412,17.23,49.9
26100.0,16.412,16.542,49.9
