Time,Qin,Qout,Level
0,50.143,16.567,50.1
60,44.67,16.567,50.2
120,31.304,16.567,50.2
180,31.432,16.567,50.2
240,29.904,16.567,50.3
300,28.122,16.567,50.3
360,26.467,16.567,50.3
420,25.067,16.567,50.3
480,23.667,16.309,50.3
540,22.394,16.309,50.4
600,21.121,16.309,50.4
660,19.848,16.309,50.4
720,18.83,16.309,50.4
780,17.684,17.439,50.4
840,16.666,17.439,50.4
900,15.775,17.439,50.4
960,14.884,17.439,50.4
1020,14.12,19.136,50.4
1080,13.357,19.136,50.4
1140,12.466,19.136,50.3
1200,11.829,19.136,50.3
1260,11.193,19.136,50.3
1320,10.556,18.76,50.3
1380,9.92,18.76,50.3
1440,9.411,18.76,50.2
1500,8.774,18.76,50.2
1560,8.392,18.76,50.2
1620,7.883,17.733,50.2
1680,7.501,17.733,50.1
1740,6.992,17.733,50.1
1800,6.61,17.733,50.1
1860,6.229,17.733,50.1
1920,5.974,16.986,50.0
1980,5.592,16.986,50.0
2040,5.21,16.986,50.0
2100,4.956,16.986,49.9
2160,4.701,16.986,49.9
2220,4.701,16.689,49.9
2280,5.21,16.689,49.9
2340,6.229,16.689,49.8
2400,7.247,16.689,49.8
2460,8.138,17.354,49.8
2520,9.665,17.354,49.8
2580,11.575,17.354,49.7
2640,13.357,17.354,49.7
2700,15.648,17.354,49.7
2760,17.812,17.822,49.7
2820,20.103,17.822,49.7
2880,22.394,17.822,49.7
2940,24.431,17.822,49.8
3000,25.831,17.822,49.8
3060,27.231,18.127,49.8
3120,28.504,18.127,49.8
3180,29.777,18.127,49.9
3240,30.922,18.127,49.9
3300,31.941,18.127,49.9
3360,32.832,18.221,50.0
3420,33.341,18.221,50.0
3480,33.214,18.221,50.0
3540,33.214,18.221,50.1
3600,32.705,18.221,50.1
3660,31.05,18.647,50.1
3720,29.14,18.647,50.2
3780,27.231,18.647,50.2
3840,22.267,18.647,50.2
3900,20.994,18.678,50.2
3960,19.976,18.678,50.2
4020,18.83,18.678,50.2
4080,17.684,18.678,50.2
4140,16.793,18.678,50.2
4200,15.902,18.544,50.2
4260,15.011,18.544,50.2
4320,14.12,18.544,50.2
4380,13.357,18.544,50.2
4440,12.593,18.544,50.1
4500,11.829,18.154,50.1
4560,11.193,18.154,50.1
4620,10.556,18.154,50.1
4680,10.047,18.154,50.1
4740,9.411,18.154,50.1
4800,8.902,17.628,50.0
4860,8.392,17.628,50.0
4920,8.011,17.628,50.0
4980,7.501,17.628,50.0
5040,7.12,17.628,49.9
5100,6.992,18.326,49.9
5160,7.374,18.326,49.9
5220,7.883,18.326,49.9
5280,8.774,18.326,49.8
5340,9.665,18.269,49.8
5400,10.811,18.269,49.8
5460,12.466,18.269,49.8
5520,14.12,18.269,49.8
5580,15.775,18.269,49.8
5640,17.812,17.902,49.8
5700,19.976,17.902,49.8
5760,22.012,17.902,49.8
5820,23.922,17.902,49.8
5880,25.958,17.902,49.8
5940,27.231,17.244,49.8
6000,28.377,17.244,49.9
6060,29.777,17.244,49.9
6120,30.922,17.244,49.9
6180,31.814,17.244,50.0
6240,32.45,16.666,50.0
6300,32.577,16.666,50.0
6360,32.45,16.666,50.1
6420,31.559,16.666,50.1
6480,30.159,16.666,50.1
6540,28.377,17.819,50.2
6600,26.467,17.819,50.2
6660,24.049,17.819,50.2
6720,21.758,17.819,50.2
6780,19.976,19.124,50.2
6840,18.957,19.124,50.2
6900,17.939,19.124,50.2
6960,16.921,19.124,50.2
7020,16.03,19.124,50.2
7080,15.011,19.474,50.2
7140,14.12,19.474,50.2
7200,13.357,19.474,50.2
7260,12.593,19.474,50.1
7320,11.829,19.474,50.1
7380,11.193,18.61,50.1
7440,10.556,18.61,50.1
7500,9.92,18.61,50.1
7560,9.283,18.61,50.0
7620,8.774,18.61,50.0
7680,8.265,18.32,50.0
7740,7.756,18.32,50.0
7800,7.12,18.32,49.9
7860,7.501,18.32,49.9
7920,7.247,18.32,49.9
7980,7.629,18.667,49.9
8040,8.265,18.667,49.8
8100,9.411,18.667,49.8
8160,10.811,18.667,49.8
8220,11.957,18.778,49.8
8280,13.611,18.778,49.8
8340,15.266,18.778,49.8
8400,17.43,18.778,49.8
8460,19.594,18.778,49.8
8520,21.758,18.129,49.8
8580,23.667,18.129,49.8
8640,25.576,18.129,49.8
8700,26.722,18.129,49.8
8760,28.122,18.129,49.8
8820,29.395,18.368,49.9
8880,30.541,18.368,49.9
8940,31.559,18.368,49.9
9000,32.195,18.368,50.0
9060,32.705,18.368,50.0
9120,32.577,19.554,50.0
9180,32.195,19.554,50.1
9240,31.559,19.554,50.1
9300,30.541,19.554,50.1
9360,29.013,19.554,50.1
9420,27.104,19.485,50.2
9480,24.94,19.485,50.2
9540,22.394,19.485,50.2
9600,20.485,19.485,50.2
9660,19.594,19.57,50.2
9720,18.448,19.57,50.2
9780,17.43,19.57,50.2
9840,16.412,19.57,50.2
9900,15.393,19.57,50.2
9960,14.63,20.254,50.1
10020,13.739,20.254,50.1
10080,12.975,20.254,50.1
10140,12.338,20.254,50.1
10200,11.575,20.254,50.1
10260,10.938,20.537,50.0
10320,10.302,20.537,50.0
10380,9.665,20.537,50.0
10440,9.156,20.537,50.0
10500,8.647,20.537,49.9
10560,8.392,20.954,49.9
10620,8.647,20.954,49.9
10680,8.902,20.954,49.8
10740,9.538,20.954,49.8
10800,10.811,20.954,49.8
10860,12.211,20.781,49.8
10920,13.229,20.781,49.8
10980,14.884,20.781,49.7
11040,17.43,20.781,49.7
11100,19.339,19.625,49.7
11160,21.376,19.625,49.7
11220,23.54,19.625,49.7
11280,25.958,19.625,49.8
11340,27.231,19.625,49.8
11400,28.504,18.214,49.8
11460,29.65,18.214,49.8
11520,30.795,18.214,49.9
11580,32.068,18.214,49.9
11640,33.086,18.214,49.9
11700,34.359,16.774,50.0
11760,33.723,16.774,50.0
11820,33.214,16.774,50.1
11880,32.45,16.774,50.1
11940,31.432,16.774,50.1
12000,29.268,17.024,50.2
12060,26.849,17.024,50.2
12120,24.685,17.024,50.2
12180,22.14,17.024,50.2
12240,21.121,17.024,50.2
12300,19.976,19.226,50.2
12360,18.83,19.226,50.2
12420,17.812,19.226,50.2
12480,16.793,19.226,50.2
12540,15.902,20.823,50.2
12600,14.884,20.823,50.2
12660,14.12,20.823,50.2
12720,13.357,20.823,50.2
12780,12.593,20.823,50.1
12840,11.829,20.527,50.1
12900,11.32,20.527,50.1
12960,10.684,20.527,50.1
13020,9.92,20.527,50.0
13080,9.411,20.527,50.0
13140,8.902,19.498,50.0
13200,8.392,19.498,50.0
13260,8.138,19.498,49.9
13320,8.138,19.498,49.9
13380,8.52,19.498,49.9
13440,8.902,18.366,49.9
13500,9.665,18.366,49.8
13560,10.302,18.366,49.8
13620,11.702,18.366,49.8
13680,13.102,18.366,49.8
13740,14.375,18.211,49.8
13800,16.284,18.211,49.8
13860,18.066,18.211,49.8
13920,19.848,18.211,49.8
13980,21.63,18.644,49.8
14040,23.667,18.644,49.8
14100,25.704,18.644,49.8
14160,27.358,18.644,49.8
14220,28.504,18.644,49.9
14280,29.777,18.507,49.9
14340,30.795,18.507,49.9
14400,31.559,18.507,50.0
14460,32.195,18.507,50.0
14520,32.195,18.507,50.0
14580,31.941,19.39,50.1
14640,31.432,19.39,50.1
14700,30.541,19.39,50.1
14760,29.013,19.39,50.1
14820,27.358,19.39,50.2
14880,25.704,19.65,50.2
14940,23.54,19.65,50.2
15000,20.739,19.65,50.2
15060,19.339,19.65,50.2
15120,18.448,19.65,50.2
15180,17.557,19.288,50.2
15240,16.412,19.288,50.2
15300,15.393,19.288,50.2
15360,14.63,19.288,50.1
15420,13.739,19.496,50.1
15480,12.975,19.496,50.1
15540,11.447,19.496,50.1
15600,10.938,19.496,50.1
15660,10.302,19.496,50.0
15720,9.793,18.68,50.0
15780,9.283,18.68,50.0
15840,8.647,18.68,50.0
15900,8.265,18.68,50.0
15960,7.756,18.68,49.9
16020,7.756,19.39,49.9
16080,8.011,19.39,49.9
16140,8.52,19.39,49.8
16200,9.538,19.39,49.8
16260,10.811,19.39,49.8
16320,11.829,20.057,49.8
16380,13.357,20.057,49.8
16440,15.139,20.057,49.7
16500,17.048,20.057,49.7
16560,19.085,20.057,49.7
16620,21.376,18.91,49.7
16680,23.54,18.91,49.8
16740,25.576,18.91,49.8
16800,26.722,18.91,49.8
16860,27.995,19.283,49.8
16920,29.395,19.283,49.8
16980,30.541,19.283,49.9
17040,31.559,19.283,49.9
17100,32.577,19.283,49.9
17160,33.341,18.74,50.0
17220,33.596,18.74,50.0
17280,33.596,18.74,50.0
17340,33.341,18.74,50.1
17400,32.323,18.74,50.1
17460,30.668,17.97,50.1
17520,28.886,17.97,50.2
17580,26.849,17.97,50.2
17640,24.303,17.97,50.2
17700,21.885,17.97,50.2
17760,20.485,19.352,50.2
17820,19.594,19.352,50.2
17880,18.448,19.352,50.2
17940,17.303,19.352,50.2
18000,16.284,19.352,50.2
18060,15.393,19.537,50.2
18120,14.502,19.537,50.2
18180,13.739,19.537,50.2
18240,12.848,19.537,50.1
18300,12.211,19.376,50.1
18360,11.447,19.376,50.1
18420,10.811,19.376,50.1
18480,10.174,19.376,50.1
18540,9.538,19.376,50.0
18600,9.029,19.067,50.0
18660,8.52,19.067,50.0
18720,8.011,19.067,50.0
18780,7.756,19.067,49.9
18840,7.629,19.067,49.9
18900,7.756,18.578,49.9
18960,8.392,18.578,49.9
19020,9.156,18.578,49.8
19080,9.665,18.578,49.8
19140,10.684,18.578,49.8
19200,12.338,19.218,49.8
19260,15.521,19.218,49.8
19320,16.793,19.218,49.8
19380,18.576,19.218,49.8
19440,20.994,19.218,49.8
19500,22.649,19.741,49.8
19560,24.558,19.741,49.8
19620,26.34,19.741,49.8
19680,27.74,19.741,49.8
19740,28.886,18.911,49.8
19800,30.031,18.911,49.9
19860,31.177,18.911,49.9
19920,32.195,18.911,49.9
19980,32.832,18.911,50.0
20040,33.214,18.575,50.0
20100,33.214,18.575,50.0
20160,32.832,18.575,50.1
20220,31.559,18.575,50.1
20280,30.159,18.575,50.1
20340,28.377,19.212,50.2
20400,26.467,19.212,50.2
20460,24.176,19.212,50.2
20520,21.885,19.212,50.2
20580,20.485,19.212,50.2
20640,19.339,18.862,50.2
20700,18.321,18.862,50.2
20760,17.303,18.862,50.2
20820,16.284,18.862,50.2
20880,15.393,18.862,50.2
20940,14.502,18.642,50.2
21000,13.739,18.642,50.2
21060,12.975,18.642,50.1
21120,12.211,18.642,50.1
21180,11.447,18.453,50.1
21240,10.811,18.453,50.1
21300,10.302,18.453,50.1
21360,9.665,18.453,50.0
21420,9.029,18.453,50.0
21480,8.647,18.08,50.0
21540,8.138,18.08,50.0
21600,7.629,18.08,50.0
21660,7.247,18.08,49.9
21720,7.12,18.08,49.9
21780,7.247,17.389,49.9
21840,7.756,17.389,49.9
21900,8.647,17.389,49.8
21960,9.793,17.389,49.8
22020,10.684,17.389,49.8
22080,12.084,17.015,49.8
22140,13.484,17.015,49.8
22200,15.393,17.015,49.8
22260,17.175,17.015,49.8
22320,18.957,17.015,49.8
22380,20.867,17.575,49.8
22440,22.903,17.575,49.8
22500,24.94,17.575,49.8
22560,26.595,17.575,49.8
22620,28.122,16.779,49.9
22680,29.395,16.779,49.9
22740,30.159,16.779,49.9
22800,31.05,16.779,50.0
22860,31.814,16.779,50.0
22920,31.941,15.85,50.0
22980,31.686,15.85,50.1
23040,31.05,15.85,50.1
23100,29.777,15.85,50.1
23160,28.122,15.85,50.2
23220,23.54,15.612,50.2
23280,21.249,15.612,50.2
23340,20.103,15.612,50.2
23400,18.957,15.612,50.2
23460,17.939,15.612,50.2
23520,16.921,15.955,50.2
23580,16.03,15.955,50.2
23640,15.139,15.955,50.2
23700,14.248,15.955,50.2
23760,13.484,15.955,50.2
23820,12.72,16.23,50.2
23880,11.957,16.23,50.2
23940,11.32,16.23,50.2
