Time,Qin,Qout,Level
0,50.143,16.567,50.1
60.0,50.016,16.567,50.2
120.0,50.016,16.567,50.2
180.0,36.65,16.567,50.3
240.0,33.85,16.567,50.3
300.0,36.014,16.567,50.4
360.0,39.578,16.567,50.4
420.0,40.596,16.567,50.5
480.0,40.978,16.309,50.6
540.0,40.215,16.309,50.6
600.0,39.705,16.309,50.7
660.0,39.96,16.309,50.7
720.0,40.469,16.309,50.8
780.0,40.724,17.439,50.9
840.0,40.978,17.439,50.9
900.0,41.233,17.439,51.0
960.0,41.233,17.439,51.0
1020.0,41.487,19.136,51.1
1080.0,41.615,19.136,51.1
1140.0,41.869,19.136,51.2
1200.0,42.251,19.136,51.2
1260.0,42.378,19.136,51.3
1320.0,42.378,18.76,51.4
1380.0,42.633,18.76,51.4
1440.0,42.76,18.76,51.5
1500.0,42.888,18.76,51.5
1560.0,43.142,18.76,51.6
1620.0,43.397,17.733,51.7
1680.0,43.397,17.733,51.7
1740.0,43.524,17.733,51.8
1800.0,43.779,17.733,51.9
1860.0,43.779,17.733,51.9
1920.0,44.033,16.986,52.0
1980.0,44.16,16.986,52.0
2040.0,44.288,16.986,52.1
2100.0,44.415,16.986,52.2
2160.0,44.415,16.986,52.3
2220.0,44.542,16.689,52.3
2280.0,44.797,16.689,52.4
2340.0,44.924,16.689,52.5
2400.0,44.924,16.689,52.5
2460.0,44.924,17.354,52.6
2520.0,45.051,17.354,52.7
2580.0,45.306,17.354,52.7
2640.0,45.433,17.354,52.8
2700.0,45.433,17.354,52.9
2760.0,45.688,17.822,52.9
2820.0,45.815,17.822,53.0
2880.0,45.815,17.822,53.1
2940.0,45.943,17.822,53.1
3000.0,45.943,17.822,53.2
3060.0,46.07,18.127,53.3
3120.0,46.197,18.127,53.3
3180.0,46.324,18.127,53.4
3240.0,46.324,18.127,53.5
3300.0,46.452,18.127,53.6
3360.0,46.452,18.221,53.6
3420.0,46.452,18.221,53.7
3480.0,46.706,18.221,53.8
3540.0,46.706,18.221,53.8
3600.0,46.834,18.221,53.9
3660.0,46.834,18.647,54.0
3720.0,46.834,18.647,54.0
3780.0,46.961,18.647,54.1
3840.0,47.215,18.647,54.2
3900.0,47.215,18.678,54.3
3960.0,47.088,18.678,54.3
4020.0,47.215,18.678,54.4
4080.0,47.343,18.678,54.5
4140.0,47.47,18.678,54.5
4200.0,47.47,18.544,54.6
4260.0,47.597,18.544,54.7
4320.0,47.597,18.544,54.7
4380.0,47.597,18.544,54.8
4440.0,47.597,18.544,54.9
4500.0,47.725,18.154,55.0
4560.0,47.725,18.154,55.0
4620.0,47.725,18.154,55.1
4680.0,47.852,18.154,55.2
4740.0,47.979,18.154,55.3
4800.0,48.106,17.628,55.3
4860.0,47.979,17.628,55.4
4920.0,47.979,17.628,55.5
4980.0,48.106,17.628,55.5
5040.0,48.106,17.628,55.6
5100.0,48.106,18.326,55.7
5160.0,48.234,18.326,55.8
5220.0,48.234,18.326,55.8
5280.0,48.234,18.326,55.9
5340.0,48.361,18.269,56.0
5400.0,48.361,18.269,56.1
5460.0,48.488,18.269,56.1
5520.0,48.488,18.269,56.2
5580.0,48.488,18.269,56.3
5640.0,48.361,17.902,56.4
5700.0,48.488,17.902,56.4
5760.0,48.616,17.902,56.5
5820.0,48.616,17.902,56.6
5880.0,48.616,17.902,56.7
5940.0,48.616,17.244,56.7
6000.0,48.743,17.244,56.8
6060.0,48.743,17.244,56.9
6120.0,48.743,17.244,57.0
6180.0,48.743,17.244,57.0
6240.0,48.87,16.666,57.1
6300.0,48.87,16.666,57.2
6360.0,48.87,16.666,57.3
6420.0,48.87,16.666,57.4
6480.0,48.87,16.666,57.4
6540.0,48.87,17.819,57.5
6600.0,48.997,17.819,57.6
6660.0,48.997,17.819,57.7
6720.0,48.997,17.819,57.7
6780.0,48.997,19.124,57.8
6840.0,48.997,19.124,57.9
6900.0,48.997,19.124,58.0
6960.0,49.125,19.124,58.0
7020.0,49.125,19.124,58.1
7080.0,49.125,19.474,58.2
7140.0,49.125,19.474,58.3
7200.0,48.997,19.474,58.3
7260.0,49.125,19.474,58.4
7320.0,49.252,19.474,58.5
7380.0,49.252,18.61,58.6
7440.0,49.252,18.61,58.6
7500.0,49.252,18.61,58.7
7560.0,49.125,18.61,58.8
7620.0,49.252,18.61,58.9
7680.0,49.252,18.32,58.9
7740.0,49.252,18.32,59.0
7800.0,49.379,18.32,59.1
7860.0,49.379,18.32,59.2
7920.0,49.379,18.32,59.2
7980.0,49.379,18.667,59.3
8040.0,49.379,18.667,59.4
8100.0,49.379,18.667,59.5
8160.0,49.379,18.667,59.5
8220.0,49.507,18.778,59.6
8280.0,49.507,18.778,59.7
8340.0,49.507,18.778,59.8
8400.0,49.379,18.778,59.8
8460.0,49.379,18.778,59.9
8520.0,49.507,18.129,60.0
8580.0,49.507,18.129,60.1
8640.0,49.507,18.129,60.1
8700.0,49.507,18.129,60.2
8760.0,49.507,18.129,60.3
8820.0,49.507,18.368,60.4
8880.0,49.507,18.368,60.4
8940.0,49.507,18.368,60.5
9000.0,49.507,18.368,60.6
9060.0,49.634,18.368,60.7
9120.0,49.507,19.554,60.7
9180.0,49.507,19.554,60.8
9240.0,49.634,19.554,60.9
9300.0,49.634,19.554,61.0
9360.0,49.634,19.554,61.0
9420.0,49.634,19.485,61.1
9480.0,49.634,19.485,61.2
9540.0,49.634,19.485,61.3
9600.0,49.634,19.485,61.3
9660.0,49.634,19.57,61.4
9720.0,49.634,19.57,61.5
9780.0,49.634,19.57,61.6
9840.0,49.761,19.57,61.6
9900.0,49.634,19.57,61.7
9960.0,49.761,20.254,61.8
10020.0,49.761,20.254,61.9
10080.0,49.761,20.254,61.9
10140.0,49.634,20.254,62.0
10200.0,49.634,20.254,62.1
10260.0,49.761,20.537,62.1
10320.0,49.761,20.537,62.2
10380.0,49.761,20.537,62.3
10440.0,49.761,20.537,62.4
10500.0,49.761,20.537,62.4
10560.0,49.761,20.954,62.5
10620.0,49.761,20.954,62.6
10680.0,49.761,20.954,62.6
10740.0,49.761,20.954,62.7
10800.0,49.761,20.954,62.8
10860.0,49.761,20.781,62.9
10920.0,49.888,20.781,62.9
10980.0,49.761,20.781,63.0
11040.0,49.761,20.781,63.1
11100.0,49.761,19.625,63.1
11160.0,49.888,19.625,63.2
11220.0,49.761,19.625,63.3
11280.0,49.761,19.625,63.4
11340.0,49.761,19.625,63.4
11400.0,49.761,18.214,63.5
11460.0,49.761,18.214,63.6
11520.0,49.761,18.214,63.7
11580.0,49.888,18.214,63.7
11640.0,49.888,18.214,63.8
11700.0,49.761,16.774,63.9
11760.0,49.761,16.774,64.0
11820.0,49.888,16.774,64.1
11880.0,49.888,16.774,64.1
11940.0,49.888,16.774,64.2
12000.0,49.888,17.024,64.3
12060.0,49.761,17.024,64.4
12120.0,49.888,17.024,64.5
12180.0,49.888,17.024,64.5
12240.0,49.888,17.024,64.6
12300.0,49.761,19.226,64.7
12360.0,49.888,19.226,64.8
12420.0,49.888,19.226,64.9
12480.0,49.888,19.226,64.9
12540.0,49.888,20.823,65.0
12600.0,49.888,20.823,65.1
