Time,Qin,Qout,Level
0,0,16.567,75.0
60,0,16.567,74.9
120,12.975,16.567,74.9
180,13.739,16.567,74.9
240,13.611,16.567,74.9
300,14.12,16.567,74.9
360,15.011,16.567,74.9
420,15.775,16.567,74.9
480,16.412,16.309,74.9
540,17.303,16.309,74.9
600,18.066,16.309,74.9
660,18.576,16.309,74.9
720,18.957,16.309,74.9
780,19.467,17.439,74.9
840,19.976,17.439,74.9
900,20.485,17.439,74.9
960,20.867,17.439,74.9
1020,21.376,19.136,74.9
1080,21.758,19.136,74.9
1140,22.267,19.136,74.9
1200,22.649,19.136,75.0
1260,23.031,19.136,75.0
1320,23.412,18.76,75.0
1380,23.794,18.76,75.0
1440,24.303,18.76,75.0
1500,24.685,18.76,75.0
1560,25.067,18.76,75.0
1620,25.449,17.733,75.1
1680,25.831,17.733,75.1
1740,26.086,17.733,75.1
1800,26.086,17.733,75.1
1860,26.086,17.733,75.1
1920,26.086,16.986,75.2
1980,26.086,16.986,75.2
2040,25.704,16.986,75.2
2100,25.322,16.986,75.2
2160,24.303,16.986,75.2
2220,23.54,16.689,75.3
2280,22.776,16.689,75.3
2340,21.885,16.689,75.3
2400,21.503,16.689,75.3
2460,21.121,17.354,75.3
2520,20.739,17.354,75.3
2580,20.485,17.354,75.3
2640,20.23,17.354,75.3
2700,19.848,17.354,75.3
2760,19.594,17.822,75.3
2820,19.339,17.822,75.3
2880,18.957,17.822,75.3
2940,18.703,17.822,75.3
3000,18.448,17.822,75.3
3060,18.194,18.127,75.3
3120,17.812,18.127,75.3
3180,17.557,18.127,75.3
3240,17.303,18.127,75.3
3300,17.048,18.127,75.3
3360,16.793,18.221,75.3
3420,16.539,18.221,75.3
3480,16.284,18.221,75.3
3540,16.03,18.221,75.3
3600,15.775,18.221,75.3
3660,15.648,18.647,75.3
3720,15.266,18.647,75.3
3780,15.011,18.647,75.3
3840,14.884,18.647,75.3
3900,14.63,18.678,75.3
3960,14.375,18.678,75.3
4020,14.248,18.678,75.3
4080,13.993,18.678,75.2
4140,13.739,18.678,75.2
4200,13.484,18.544,75.2
4260,13.357,18.544,75.2
4320,13.229,18.544,75.2
4380,12.975,18.544,75.2
4440,12.72,18.544,75.2
4500,12.593,18.154,75.2
4560,12.593,18.154,75.1
4620,12.593,18.154,75.1
4680,12.593,18.154,75.1
4740,12.593,18.154,75.1
4800,12.466,17.628,75.1
4860,12.466,17.628,75.1
4920,12.466,17.628,75.1
4980,12.466,17.628,75.0
5040,12.593,17.628,75.0
5100,12.593,18.326,75.0
5160,0,18.326,75.0
5220,0,18.326,74.9
5280,0,18.326,74.9
5340,12.593,18.269,74.9
5400,13.229,18.269,74.9
5460,12.848,18.269,74.8
5520,13.484,18.269,74.8
5580,14.375,18.269,74.8
5640,15.139,17.902,74.8
5700,17.175,17.902,74.8
5760,17.812,17.902,74.8
5820,18.194,17.902,74.8
5880,18.703,17.902,74.8
5940,19.212,17.244,74.8
6000,19.594,17.244,74.8
6060,20.103,17.244,74.8
6120,20.612,17.244,74.8
6180,20.994,17.244,74.9
6240,21.503,16.666,74.9
6300,21.885,16.666,74.9
6360,22.394,16.666,74.9
6420,22.776,16.666,74.9
6480,23.158,16.666,74.9
6540,23.54,17.819,74.9
6600,24.049,17.819,75.0
6660,24.303,17.819,75.0
6720,24.685,17.819,75.0
6780,25.195,19.124,75.0
6840,25.576,19.124,75.0
6900,25.831,19.124,75.0
6960,26.213,19.124,75.0
7020,26.467,19.124,75.1
7080,26.722,19.474,75.1
7140,26.722,19.474,75.1
7200,26.595,19.474,75.1
7260,26.722,19.474,75.1
7320,26.467,19.474,75.2
7380,26.467,18.61,75.2
7440,26.086,18.61,75.2
7500,25.704,18.61,75.2
7560,25.195,18.61,75.2
7620,24.431,18.61,75.2
7680,23.794,18.32,75.3
7740,22.776,18.32,75.3
7800,22.14,18.32,75.3
7860,21.885,18.32,75.3
7920,21.503,18.32,75.3
7980,21.121,18.667,75.3
8040,20.867,18.667,75.3
8100,20.612,18.667,75.3
8160,20.23,18.667,75.3
8220,19.976,18.778,75.3
8280,19.594,18.778,75.3
8340,19.339,18.778,75.3
8400,18.957,18.778,75.3
8460,18.703,18.778,75.3
8520,18.448,18.129,75.3
8580,18.194,18.129,75.3
8640,17.939,18.129,75.3
8700,17.557,18.129,75.3
8760,17.303,18.129,75.3
8820,17.048,18.368,75.3
8880,16.793,18.368,75.3
8940,16.539,18.368,75.3
9000,16.284,18.368,75.3
9060,16.03,18.368,75.3
9120,15.902,19.554,75.3
9180,15.521,19.554,75.3
9240,15.266,19.554,75.3
9300,14.884,19.554,75.2
9360,14.63,19.554,75.2
9420,14.502,19.485,75.2
9480,14.248,19.485,75.2
9540,13.993,19.485,75.2
9600,13.739,19.485,75.2
9660,13.611,19.57,75.2
9720,13.357,19.57,75.2
9780,13.229,19.57,75.1
9840,12.975,19.57,75.1
9900,12.72,19.57,75.1
9960,12.593,20.254,75.1
10020,12.593,20.254,75.1
10080,12.593,20.254,75.1
10140,12.466,20.254,75.0
10200,12.466,20.254,75.0
10260,12.466,20.537,75.0
10320,12.466,20.537,75.0
10380,12.593,20.537,75.0
10440,12.593,20.537,74.9
10500,12.975,20.537,74.9
10560,13.357,20.954,74.9
10620,13.866,20.954,74.9
